emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,interest_rate,grade,dti,installment,region
4,MORTGAGE,Low,70000,22400, 60 months,debt_consolidation,High,14.46,D,9,526.57,leinster
3,MORTGAGE,Low,51540,4000, 36 months,debt_consolidation,Low,5.79,A,16.27,121.31,Northern-Irl
4,OWN,Low,24000,6400, 36 months,vacation,Low,8.88,B,5.25,203.17,ulster
3,MORTGAGE,Low,48000,10000, 60 months,credit_card,High,16.69,E,23.65,246.87,leinster
0.5,MORTGAGE,Low,61800,1500, 36 months,credit_card,Low,6.54,A,20.06,46.01,cannught
10,MORTGAGE,Low,55000,10000, 36 months,major_purchase,Low,5.79,A,14.03,303.27,leinster
5,MORTGAGE,Medium,110000,8000, 36 months,debt_consolidation,Low,12.98,C,8.97,269.48,Northern-Irl
4,RENT,Low,75000,20000, 36 months,credit_card,Low,8.88,B,14.29,634.88,ulster
10,MORTGAGE,Low,60000,6000, 36 months,debt_consolidation,High,13.35,C,21.36,203.18,ulster
10,MORTGAGE,Low,38400,10000, 60 months,other,High,15.95,E,14.41,242.92,leinster
8,MORTGAGE,Low,98080,20000, 36 months,debt_consolidation,Low,8.88,B,14.14,634.88,cannught
1,RENT,Low,48000,7200, 36 months,other,Low,9.62,B,15.53,231.05,Northern-Irl
3,RENT,Low,52000,3000, 60 months,wedding,High,18.54,F,21.83,77.07,ulster
6,MORTGAGE,Low,60000,10500, 60 months,wedding,High,16.69,E,2.64,259.21,ulster
3,MORTGAGE,Medium,120000,25000, 36 months,debt_consolidation,Low,9.62,B,12.94,802.23,ulster
5,RENT,Medium,105504,15000, 36 months,debt_consolidation,High,15.95,E,12.24,526.99,leinster
3,RENT,Low,50000,17600, 60 months,credit_card,High,15.57,D,21.46,423.99,munster
1,MORTGAGE,Medium,105000,24000, 36 months,debt_consolidation,Low,6.17,A,10.65,731.98,ulster
0.5,RENT,Low,25596,6500, 36 months,debt_consolidation,Low,9.99,B,10.41,209.71,leinster
10,MORTGAGE,Low,46800,5000, 60 months,debt_consolidation,Low,12.61,C,14.33,112.77,ulster
10,MORTGAGE,Low,45000,4000, 36 months,debt_consolidation,Low,9.25,B,24.45,127.67,cannught
2,RENT,Low,60000,8000, 60 months,credit_card,High,15.2,D,16.14,191.17,Northern-Irl
3,RENT,Low,24000,1600, 36 months,debt_consolidation,Low,8.88,B,20.45,50.8,Northern-Irl
10,RENT,Low,95000,15000, 60 months,small_business,High,17.06,E,3.83,373.28,Northern-Irl
0.5,RENT,Low,100000,9400, 60 months,debt_consolidation,High,16.32,E,8.87,230.2,ulster
10,MORTGAGE,Low,53004,5000, 60 months,debt_consolidation,High,15.2,D,13.79,119.48,munster
5,MORTGAGE,Low,30160,12000, 60 months,credit_card,High,14.83,D,17.27,284.41,leinster
10,MORTGAGE,Low,52000,24500, 36 months,home_improvement,Low,6.17,A,5.52,747.23,cannught
0.5,RENT,Low,66000,6000, 36 months,debt_consolidation,Low,6.17,A,13.6,183,Northern-Irl
0.5,RENT,Low,46000,2500, 36 months,credit_card,Low,6.91,A,7.28,77.09,leinster
5,RENT,Low,25200,11500, 36 months,major_purchase,High,14.46,D,13.71,395.62,ulster
10,RENT,Medium,144000,10000, 36 months,debt_consolidation,Low,9.99,B,11.53,322.63,Northern-Irl
10,MORTGAGE,Low,84000,15000, 36 months,credit_card,Low,6.91,A,11.19,462.54,ulster
6.05,OWN,Low,30000,9200, 60 months,other,High,14.83,D,19.28,218.05,leinster
1,RENT,Low,48000,8400, 60 months,debt_consolidation,High,15.57,D,11.45,202.36,ulster
3,MORTGAGE,Low,52000,6000, 36 months,credit_card,Low,8.88,B,12.18,190.47,Northern-Irl
3,RENT,Low,88000,9700, 36 months,debt_consolidation,High,14.09,D,9.52,331.95,ulster
10,MORTGAGE,Low,78996,8000, 60 months,home_improvement,Low,12.61,C,22.38,180.44,ulster
10,MORTGAGE,Low,98000,5000, 36 months,vacation,Low,10.36,B,22.22,162.19,leinster
10,MORTGAGE,Medium,144500,6000, 60 months,car,Low,8.88,B,2.81,124.21,Northern-Irl
10,OWN,Medium,190000,25000, 36 months,home_improvement,Low,9.25,B,0.13,797.91,Northern-Irl
3,MORTGAGE,Medium,105000,20000, 36 months,debt_consolidation,Low,6.91,A,7.74,616.72,ulster
10,RENT,Low,70000,6000, 36 months,debt_consolidation,Low,9.25,B,3.46,191.5,cannught
0.5,RENT,Low,38400,7000, 36 months,credit_card,Low,9.99,B,15.28,225.84,Northern-Irl
8,RENT,Low,30000,7000, 36 months,debt_consolidation,High,13.35,C,24.76,237.04,ulster
3,MORTGAGE,Medium,185000,12000, 36 months,credit_card,Low,5.79,A,5.96,363.93,leinster
0.5,RENT,Low,21600,4900, 36 months,other,High,13.72,C,10.94,166.81,Northern-Irl
9,MORTGAGE,Medium,104000,14000, 36 months,debt_consolidation,Low,9.99,B,11.48,451.68,leinster
0.5,MORTGAGE,Medium,105000,20000, 60 months,other,Low,12.23,C,19.68,447.22,leinster
5,RENT,Low,42000,15000, 60 months,moving,Low,9.99,B,12.8,318.64,cannught
10,RENT,Low,55000,20000, 36 months,debt_consolidation,Low,6.91,A,24.65,616.72,ulster
9,RENT,Medium,140000,20000, 36 months,debt_consolidation,Low,6.54,A,4.09,613.35,ulster
6,RENT,Medium,160000,25000, 36 months,debt_consolidation,Low,12.23,C,8.17,833.11,Northern-Irl
0.5,RENT,Low,24000,4400, 36 months,debt_consolidation,High,14.09,D,19.55,150.58,leinster
2,RENT,Low,68515,5600, 36 months,credit_card,Low,12.61,C,2.07,187.64,Northern-Irl
10,MORTGAGE,Low,51912,1200, 60 months,debt_consolidation,Low,12.23,C,20.43,26.84,leinster
3,RENT,Low,48000,19750, 60 months,debt_consolidation,High,20.77,G,14.85,531.76,cannught
3,MORTGAGE,Medium,165000,15000, 36 months,debt_consolidation,Low,12.61,C,8.12,502.6,leinster
0.5,RENT,Low,56004,20000, 60 months,debt_consolidation,High,16.32,E,22.07,489.77,leinster
10,MORTGAGE,Low,92000,8000, 60 months,wedding,Low,9.62,B,17.09,168.49,ulster
5,MORTGAGE,Low,28000,8500, 36 months,debt_consolidation,Low,6.17,A,9.99,259.25,ulster
10,MORTGAGE,Low,96000,8000, 36 months,other,High,14.09,D,0.72,273.78,Northern-Irl
6.05,MORTGAGE,Low,60000,5000, 36 months,debt_consolidation,Low,6.54,A,20.18,153.34,Northern-Irl
1,RENT,Low,83000,12000, 36 months,debt_consolidation,Low,9.99,B,17.82,387.15,ulster
0.5,MORTGAGE,Low,90000,15000, 36 months,credit_card,High,14.46,D,22.15,516.03,leinster
5,RENT,Medium,195000,20000, 60 months,small_business,Low,12.23,C,6.46,447.22,Northern-Irl
1,RENT,Low,27880,4800, 36 months,debt_consolidation,Low,9.25,B,1.81,153.2,Northern-Irl
7,OWN,Low,80000,9000, 36 months,credit_card,Low,9.62,B,3.31,288.81,Northern-Irl
10,MORTGAGE,Low,40000,3700, 36 months,debt_consolidation,Low,6.91,A,21.39,114.1,leinster
10,RENT,Low,63000,14000, 36 months,debt_consolidation,Low,6.91,A,8.29,431.71,Northern-Irl
5,RENT,Low,51600,9000, 36 months,debt_consolidation,Low,6.54,A,13.12,276.01,Northern-Irl
2,RENT,Low,40000,14600, 36 months,credit_card,Low,12.23,C,18.93,486.54,ulster
9,MORTGAGE,Low,80004,3500, 36 months,home_improvement,Low,12.61,C,6.37,117.28,leinster
3,RENT,Low,38508,10000, 60 months,debt_consolidation,Low,9.25,B,7.82,208.8,Northern-Irl
10,RENT,Low,56000,9000, 36 months,debt_consolidation,High,13.35,C,10.99,304.77,ulster
3,RENT,Low,50000,4000, 36 months,debt_consolidation,Low,12.61,C,13.68,134.03,ulster
2,RENT,Low,57996,8400, 36 months,debt_consolidation,Low,12.98,C,12.29,282.95,ulster
5,MORTGAGE,Low,60000,2000, 36 months,credit_card,Low,6.91,A,16.54,61.68,munster
0.5,RENT,Low,90000,8000, 36 months,debt_consolidation,High,13.35,C,5.33,270.91,Northern-Irl
2,MORTGAGE,Medium,181409,14500, 36 months,home_improvement,Low,8.88,B,7.16,460.29,munster
6.05,RENT,Low,10800,3600, 36 months,debt_consolidation,Low,12.23,C,2.22,119.97,leinster
10,MORTGAGE,Medium,110000,18000, 36 months,debt_consolidation,Low,6.54,A,3.77,552.01,ulster
2,RENT,Low,49500,7000, 36 months,credit_card,Low,12.23,C,10.84,233.27,munster
2,RENT,Low,70000,14000, 36 months,debt_consolidation,Low,9.99,B,13.03,451.68,ulster
4,RENT,Low,40320,8700, 36 months,debt_consolidation,Low,12.61,C,16.07,291.51,leinster
10,MORTGAGE,Low,97500,8000, 36 months,other,Low,5.42,A,11.88,241.28,leinster
5,MORTGAGE,Low,85800,3200, 60 months,other,High,14.46,D,13.4,75.23,leinster
4,MORTGAGE,Low,70000,12000, 36 months,debt_consolidation,Low,6.91,A,15.17,370.04,Northern-Irl
0.5,MORTGAGE,Low,65000,7300, 60 months,debt_consolidation,Low,9.62,B,21.84,153.75,munster
0.5,MORTGAGE,Low,45000,5200, 60 months,debt_consolidation,Low,9.99,B,10.29,110.46,leinster
10,RENT,High,408000,6000, 36 months,credit_card,Low,12.61,C,2.82,201.04,ulster
2,RENT,Low,63000,20000, 60 months,debt_consolidation,High,18.91,F,20.7,517.83,munster
2,MORTGAGE,Low,43200,10000, 36 months,debt_consolidation,Low,6.54,A,20.58,306.68,leinster
10,MORTGAGE,Low,21600,2000, 36 months,medical,Low,6.17,A,3.17,61,cannught
4,RENT,Low,74000,5500, 60 months,vacation,High,16.32,E,0.45,134.69,ulster
4,MORTGAGE,Low,84132,12800, 60 months,debt_consolidation,High,14.83,D,14.23,303.38,munster
6,MORTGAGE,Low,77004,12000, 36 months,home_improvement,Low,5.79,A,11.27,363.93,leinster
9,RENT,Low,25200,4900, 36 months,car,Low,6.17,A,3.71,149.45,munster
10,RENT,Low,55000,10000, 36 months,debt_consolidation,Low,5.79,A,20.23,303.27,Northern-Irl
4,RENT,Low,44104,15000, 36 months,debt_consolidation,Low,8.88,B,22.2,476.16,leinster
10,MORTGAGE,Medium,110000,6000, 36 months,debt_consolidation,Low,9.99,B,20.56,193.58,munster
10,MORTGAGE,Low,97781,5575, 36 months,moving,Low,6.54,A,17.59,170.97,leinster
0.5,RENT,Low,40000,1775, 36 months,debt_consolidation,Low,6.54,A,19.77,54.44,cannught
0.5,RENT,Low,24000,3500, 36 months,car,Low,6.17,A,6.55,106.75,ulster
6.05,RENT,Low,14400,3000, 60 months,debt_consolidation,High,13.72,C,3.83,69.38,ulster
2,RENT,Low,95000,2500, 36 months,home_improvement,High,13.72,C,22.95,85.11,ulster
9,MORTGAGE,Low,68000,13000, 36 months,credit_card,Low,9.25,B,17.08,414.92,Northern-Irl
10,MORTGAGE,Medium,120000,10000, 36 months,home_improvement,High,16.32,E,1.69,353.16,Northern-Irl
1,RENT,Low,75000,12000, 36 months,debt_consolidation,High,14.46,D,11.25,412.82,ulster
10,RENT,Low,61211,13000, 36 months,credit_card,Low,6.54,A,23.17,398.68,ulster
3,RENT,Low,50000,4500, 36 months,debt_consolidation,Low,5.79,A,18.91,136.48,leinster
2,MORTGAGE,Medium,200000,18000, 60 months,debt_consolidation,High,19.29,F,20.22,469.81,munster
10,MORTGAGE,Low,78000,15000, 60 months,debt_consolidation,High,15.57,D,5.06,361.36,Northern-Irl
3,RENT,Low,55000,15000, 36 months,wedding,High,17.06,E,1.7,535.24,Northern-Irl
0.5,MORTGAGE,Low,62000,18000, 36 months,debt_consolidation,High,14.46,D,23.85,619.23,munster
5,MORTGAGE,Low,41860,8000, 60 months,debt_consolidation,Low,9.25,B,5.5,167.04,Northern-Irl
3,RENT,Low,40000,5000, 36 months,major_purchase,Low,9.25,B,10.44,159.59,cannught
10,MORTGAGE,Low,98000,17000, 36 months,debt_consolidation,Low,8.88,B,20.19,539.65,leinster
2,MORTGAGE,Medium,143000,16800, 36 months,debt_consolidation,Low,6.17,A,11.83,512.39,munster
10,MORTGAGE,Medium,125000,14400, 36 months,other,Low,5.79,A,2.79,436.71,leinster
0.5,MORTGAGE,Low,85000,12800, 36 months,credit_card,Low,6.54,A,11.75,392.55,ulster
0.5,MORTGAGE,Medium,160000,10000, 36 months,home_improvement,High,14.09,D,17.74,342.22,leinster
7,MORTGAGE,Low,82000,10000, 60 months,house,Low,12.61,C,14.63,225.54,Northern-Irl
0.5,MORTGAGE,Medium,145000,14400, 36 months,other,Low,5.79,A,7.69,436.71,Northern-Irl
2,RENT,Low,100000,16000, 36 months,debt_consolidation,Low,6.54,A,3.83,490.68,Northern-Irl
10,MORTGAGE,Low,70000,10000, 60 months,debt_consolidation,High,13.72,C,24.72,231.24,Northern-Irl
1,RENT,Medium,175000,18000, 36 months,debt_consolidation,Low,5.79,A,13.54,545.89,ulster
5,RENT,Low,30000,12000, 36 months,other,Low,5.79,A,23.52,363.93,munster
0.5,MORTGAGE,High,290000,7875, 36 months,medical,Low,9.99,B,5.33,254.07,ulster
4,MORTGAGE,Low,72500,4000, 36 months,small_business,Low,5.42,A,8.33,120.64,Northern-Irl
6,RENT,Low,49000,8000, 60 months,debt_consolidation,High,14.46,D,17.95,188.06,ulster
8,RENT,Low,72194,17000, 36 months,debt_consolidation,Low,8.88,B,15.18,539.65,Northern-Irl
0.5,MORTGAGE,Low,96500,10000, 36 months,medical,Low,6.17,A,13.03,305,leinster
10,MORTGAGE,Low,60000,9000, 36 months,credit_card,Low,9.62,B,6.16,288.81,Northern-Irl
2,MORTGAGE,Medium,101000,25000, 60 months,small_business,High,20.77,G,9.03,673.11,leinster
10,MORTGAGE,Medium,120000,20000, 60 months,credit_card,High,18.17,F,9.72,509.72,ulster
7,RENT,Low,59000,16000, 60 months,debt_consolidation,High,15.2,D,18.79,382.33,Northern-Irl
2,MORTGAGE,Medium,104000,19000, 36 months,debt_consolidation,Low,6.91,A,15.77,585.89,Northern-Irl
2,RENT,Low,51996,2000, 36 months,other,High,13.72,C,17.72,68.09,Northern-Irl
0.5,MORTGAGE,Low,97000,12000, 36 months,debt_consolidation,Low,6.91,A,10,370.04,ulster
10,MORTGAGE,Low,69000,9000, 60 months,debt_consolidation,Low,12.61,C,15.48,202.99,munster
3,MORTGAGE,Low,62400,9500, 36 months,debt_consolidation,Low,6.54,A,10.38,291.34,ulster
3,MORTGAGE,Low,70000,12000, 60 months,debt_consolidation,Low,12.98,C,11.79,272.92,ulster
2,RENT,Low,26085,4800, 36 months,debt_consolidation,High,13.35,C,14.72,162.55,munster
6,MORTGAGE,Low,70000,6000, 36 months,car,Low,5.42,A,8.07,180.96,Northern-Irl
0.5,RENT,Medium,156000,20000, 36 months,debt_consolidation,Low,6.54,A,6.42,613.35,ulster
0.5,RENT,Low,40000,3000, 36 months,medical,Low,6.54,A,1.23,92.01,ulster
0.5,RENT,Low,33500,6000, 36 months,debt_consolidation,Low,6.91,A,18.95,185.02,Northern-Irl
0.5,MORTGAGE,Low,42000,12000, 36 months,credit_card,Low,9.62,B,14.54,385.07,leinster
2,RENT,Low,51996,10000, 36 months,other,Low,5.79,A,3.9,303.27,Northern-Irl
3,MORTGAGE,Low,55000,22000, 60 months,debt_consolidation,Low,12.61,C,14.03,496.19,cannught
10,OWN,Medium,120000,5000, 36 months,medical,High,14.09,D,1.25,171.11,Northern-Irl
10,MORTGAGE,Low,36000,16000, 60 months,debt_consolidation,Low,9.62,B,15.47,336.97,leinster
4,RENT,Low,42000,3000, 60 months,other,High,14.83,D,14.09,71.11,Northern-Irl
6,MORTGAGE,Low,45000,10000, 60 months,debt_consolidation,High,16.69,E,23.39,246.87,munster
2,MORTGAGE,Medium,130000,5000, 36 months,car,Low,9.99,B,12.54,161.32,cannught
3,MORTGAGE,Low,69000,18000, 60 months,debt_consolidation,High,16.32,E,8.5,440.8,cannught
3,RENT,Low,23000,3250, 60 months,credit_card,High,14.83,D,23.43,77.03,ulster
0.5,RENT,Low,68000,12000, 36 months,debt_consolidation,Low,9.99,B,19.69,387.15,ulster
0.5,RENT,Low,30000,12000, 36 months,debt_consolidation,Low,6.91,A,16.4,370.04,ulster
1,RENT,Low,85000,11000, 36 months,debt_consolidation,Low,6.91,A,11.76,339.2,Northern-Irl
10,MORTGAGE,Low,99200,23000, 36 months,credit_card,Low,6.91,A,23.63,709.23,munster
3,MORTGAGE,Medium,160000,24000, 36 months,moving,Low,6.54,A,9.23,736.02,leinster
2,RENT,Low,73500,8400, 36 months,debt_consolidation,Low,6.54,A,18.24,257.61,ulster
7,RENT,High,285000,20000, 60 months,other,Low,10.36,B,6.09,428.5,ulster
0.5,RENT,Low,67000,12000, 60 months,credit_card,High,15.2,D,23.43,286.75,leinster
4,RENT,Low,97920,25000, 60 months,debt_consolidation,High,14.46,D,13.46,587.69,Northern-Irl
4,MORTGAGE,Low,42000,13200, 36 months,debt_consolidation,Low,6.17,A,9.23,402.59,munster
1,MORTGAGE,Low,40000,7000, 36 months,debt_consolidation,High,14.09,D,15.18,239.55,Northern-Irl
10,RENT,Medium,180000,12000, 60 months,moving,Low,9.99,B,12.41,254.91,ulster
10,MORTGAGE,Low,97000,3600, 36 months,medical,Low,9.25,B,17.02,114.9,leinster
4,MORTGAGE,Medium,115000,20000, 36 months,debt_consolidation,Low,6.91,A,8.13,616.72,munster
3,MORTGAGE,Low,77500,13000, 36 months,debt_consolidation,Low,9.99,B,7.34,419.42,ulster
4,MORTGAGE,Low,80000,12000, 60 months,small_business,Low,9.62,B,14.12,252.73,leinster
10,MORTGAGE,Low,80000,13000, 36 months,debt_consolidation,Low,6.54,A,11.04,398.68,cannught
10,MORTGAGE,Low,91728,14500, 60 months,debt_consolidation,Low,9.99,B,22.79,308.02,cannught
10,MORTGAGE,Medium,172000,20000, 60 months,credit_card,Low,12.61,C,7.25,451.08,Northern-Irl
10,MORTGAGE,Low,60000,12000, 36 months,credit_card,Low,5.79,A,0.28,363.93,cannught
10,RENT,Medium,125004,24000, 36 months,debt_consolidation,Low,9.25,B,10.03,765.99,cannught
3,RENT,Low,65000,12000, 36 months,debt_consolidation,High,14.46,D,17.54,412.82,leinster
6,MORTGAGE,Medium,102000,9800, 36 months,other,Low,10.36,B,13.24,317.88,munster
0.5,RENT,Low,55000,3500, 36 months,home_improvement,Low,8.88,B,4.19,111.11,Northern-Irl
10,OWN,Low,51000,1400, 60 months,debt_consolidation,High,18.54,F,23.32,35.97,Northern-Irl
0.5,RENT,Low,30000,4000, 60 months,debt_consolidation,High,13.35,C,19.32,91.74,Northern-Irl
0.5,MORTGAGE,Low,81000,11000, 36 months,debt_consolidation,Low,10.36,B,7.5,356.81,ulster
4,OWN,Low,81000,7000, 36 months,major_purchase,Low,9.99,B,4.4,225.84,munster
3,RENT,Low,24996,8500, 36 months,debt_consolidation,Low,6.91,A,20.26,262.11,Northern-Irl
1,RENT,Low,52000,10000, 36 months,debt_consolidation,Low,6.91,A,21.81,308.36,ulster
0.5,RENT,Low,85000,15000, 36 months,small_business,High,15.57,D,2.84,524.18,Northern-Irl
6.05,MORTGAGE,Low,51600,9600, 60 months,medical,Low,9.25,B,15.95,200.45,leinster
10,RENT,Low,86000,6000, 36 months,other,Low,5.42,A,7.66,180.96,Northern-Irl
2,RENT,Low,60000,2400, 36 months,car,High,14.09,D,9.74,82.14,ulster
0.5,MORTGAGE,Low,38400,5000, 36 months,debt_consolidation,Low,9.25,B,3.13,159.59,munster
2,RENT,Low,98000,20000, 36 months,other,Low,6.91,A,0.92,616.72,cannught
4,MORTGAGE,Low,47000,18250, 60 months,debt_consolidation,Low,12.61,C,23.03,411.61,leinster
5,MORTGAGE,Low,55000,7750, 36 months,debt_consolidation,Low,6.17,A,22.1,236.37,leinster
3,RENT,Low,84000,7000, 36 months,debt_consolidation,Low,9.25,B,4.33,223.42,leinster
1,RENT,Low,60000,10000, 36 months,credit_card,Low,6.17,A,18.94,305,ulster
2,RENT,Low,24000,5000, 36 months,debt_consolidation,Low,12.61,C,13.4,167.54,ulster
2,MORTGAGE,Low,53000,6000, 36 months,debt_consolidation,Low,5.79,A,15.94,181.97,leinster
2,MORTGAGE,Low,78000,7000, 36 months,credit_card,Low,9.62,B,13.4,224.63,leinster
4,RENT,Low,60000,4800, 36 months,debt_consolidation,Low,6.54,A,5.08,147.21,Northern-Irl
5,MORTGAGE,Low,32500,10200, 60 months,car,Low,10.36,B,5.8,218.54,cannught
3,RENT,Low,42996,4000, 36 months,other,High,13.72,C,16.83,136.17,Northern-Irl
6.05,OWN,Low,42000,12000, 60 months,debt_consolidation,Low,9.62,B,17.97,252.73,leinster
5,RENT,Low,65000,15000, 36 months,wedding,Low,6.17,A,16.49,457.49,leinster
3,RENT,Low,30000,10000, 36 months,debt_consolidation,Low,5.79,A,14.28,303.27,Northern-Irl
4,MORTGAGE,Low,60000,6300, 36 months,medical,Low,9.62,B,13,202.17,cannught
0.5,MORTGAGE,Low,78000,5750, 60 months,car,Low,9.99,B,15.34,122.15,cannught
1,MORTGAGE,Low,51000,10000, 36 months,home_improvement,Low,9.99,B,3.29,322.63,munster
2,MORTGAGE,Low,62000,10000, 36 months,other,Low,6.91,A,15.1,308.36,Northern-Irl
0.5,RENT,Low,38400,14500, 60 months,debt_consolidation,Low,9.99,B,15.44,308.02,ulster
2,MORTGAGE,Medium,154000,9200, 36 months,debt_consolidation,Low,12.61,C,15.42,308.26,cannught
1,RENT,Low,63000,15675, 36 months,debt_consolidation,Low,6.54,A,18.76,480.71,cannught
3,MORTGAGE,Low,50000,10000, 60 months,debt_consolidation,High,15.95,E,15.31,242.92,leinster
4,OWN,Low,60000,6500, 36 months,debt_consolidation,Low,6.17,A,15.02,198.25,Northern-Irl
10,MORTGAGE,Low,85000,25000, 36 months,debt_consolidation,Low,10.36,B,24.56,810.92,munster
3,RENT,Low,83000,10000, 36 months,home_improvement,Low,6.54,A,17.05,306.68,leinster
2,MORTGAGE,Low,75000,4000, 36 months,car,Low,5.79,A,10.75,121.31,munster
2,RENT,Low,26400,2000, 36 months,credit_card,Low,6.54,A,20.41,61.34,ulster
1,RENT,Low,54000,10000, 36 months,wedding,High,13.35,C,12.47,338.63,munster
0.5,RENT,Low,60000,6000, 36 months,credit_card,Low,10.36,B,19.44,194.62,Northern-Irl
10,MORTGAGE,Low,69000,10000, 60 months,debt_consolidation,Low,10.36,B,15.62,214.25,Northern-Irl
0.5,MORTGAGE,Medium,126000,11000, 36 months,debt_consolidation,Low,6.91,A,12.27,339.2,ulster
3,RENT,Low,39996,11000, 36 months,debt_consolidation,Low,5.79,A,9.81,333.6,Northern-Irl
3,MORTGAGE,Low,98004,15000, 36 months,home_improvement,Low,6.91,A,11.66,462.54,leinster
5,MORTGAGE,Low,72000,11500, 36 months,debt_consolidation,Low,6.91,A,15.32,354.62,ulster
7,MORTGAGE,Low,74800,12700, 60 months,credit_card,Low,12.98,C,17.9,288.84,leinster
10,MORTGAGE,Medium,110000,25000, 60 months,debt_consolidation,High,18.17,F,17.96,637.15,Northern-Irl
10,MORTGAGE,Low,99750,12000, 36 months,car,Low,9.62,B,7.29,385.07,Northern-Irl
7,MORTGAGE,Low,78652,10000, 36 months,debt_consolidation,High,14.83,D,23.07,345.83,munster
0.5,RENT,Low,45000,10800, 36 months,debt_consolidation,Low,6.17,A,1.81,329.39,Northern-Irl
2,MORTGAGE,Low,36000,7750, 36 months,home_improvement,Low,9.99,B,18.7,250.04,leinster
2,RENT,Low,37000,2600, 36 months,credit_card,Low,9.25,B,9.73,82.99,cannught
10,MORTGAGE,Medium,115000,25000, 60 months,credit_card,High,14.46,D,16.77,587.69,Northern-Irl
6,MORTGAGE,Low,51000,6000, 36 months,car,Low,5.79,A,1.37,181.97,Northern-Irl
0.5,MORTGAGE,Medium,140000,25000, 60 months,debt_consolidation,Low,12.98,C,6.47,568.58,Northern-Irl
10,MORTGAGE,Medium,111000,10000, 60 months,debt_consolidation,Low,9.62,B,13.82,210.61,munster
6,MORTGAGE,Low,75000,8000, 60 months,home_improvement,Low,9.99,B,4.99,169.94,ulster
1,RENT,Low,73000,20000, 60 months,medical,Low,6,E,15.34,453.75,ulster
7,RENT,Low,55000,3000, 36 months,vacation,Low,12.23,C,18.26,99.98,Northern-Irl
0.5,MORTGAGE,Low,31000,4200, 36 months,debt_consolidation,High,13.72,C,21.41,142.98,cannught
4,OWN,Low,81000,12000, 36 months,debt_consolidation,Low,6.17,A,13.5,365.99,ulster
6.05,OWN,Low,30000,8000, 36 months,debt_consolidation,Low,9.99,B,8.6,258.1,leinster
6.05,MORTGAGE,Low,45000,10000, 60 months,debt_consolidation,Low,8.88,B,13.81,207.01,ulster
4,RENT,Low,20000,4600, 60 months,small_business,High,16.69,E,7.92,113.56,ulster
10,OWN,Low,81000,12000, 36 months,debt_consolidation,High,14.46,D,16.03,412.82,leinster
